refrigerant;sorbent;sorbent-subtype;type;T_crit;rho_crit;flag;fac1;exp1;fac2;exp2;fac3;exp3;fac4;exp4;fac5;exp5;fac6;exp6;fac7;exp7;fac8;exp8;validity-temperature-min;validity-temperature-max;comment;literature
Cyclohexane;dum_sorb;dum_subtype;refrig;5.5360000000E+02;2.7300000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.3696780220E+00;3.5000000000E-01;3.1089600733E+00;6.6666666667E-01;-4.6196531136E+00;1.0000000000E+00;2.9885095238E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.7986000000E+02;5.5360000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Cyclohexene;dum_sorb;dum_subtype;refrig;5.6045000000E+02;2.8200000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;2.1262007092E+00;3.5000000000E-01;-5.6175248227E-01;6.6666666667E-01;1.5355021277E+00;1.0000000000E+00;-4.1022411348E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.2315000000E+02;5.6045000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Ethanol;dum_sorb;dum_subtype;refrig;5.1471000000E+02;2.7319510000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;9.0092100000E+00;5.0000000000E-01;-2.3166800000E+01;8.0000000000E-01;3.0909200000E+01;1.1000000000E+00;-1.6545900000E+01;1.5000000000E+00;3.6429400000E+00;3.3000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.5900000000E+02;5.1471000000E+02;;"Schroeder, J. A.; Penoncello, S. G.; Schroeder, J. S. (2014): A Fundamental Equation of State for Ethanol. In: Journal of Physical and Chemical Reference Data 43 (4), S. 43102. DOI: 10.1063/1.4895394."
Ethanol;dum_sorb;dum_subtype;refrig;5.1390000000E+02;2.7600000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;2.7321861314E+00;3.5000000000E-01;-1.5049799270E+00;6.6666666667E-01;2.8337171533E+00;1.0000000000E+00;-1.5937058394E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.5900000000E+02;5.1390000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
EthyleneGlycol;dum_sorb;dum_subtype;refrig;7.1915000000E+02;3.2500000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;4.0172095385E+00;3.5000000000E-01;-4.2284803077E+00;6.6666666667E-01;5.2032310769E+00;1.0000000000E+00;-2.0462640000E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.6060000000E+02;7.1915000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Hexane;dum_sorb;dum_subtype;refrig;5.0779000000E+02;2.2300000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;2.4098385650E+00;3.5000000000E-01;3.9404843049E-01;6.6666666667E-01;-1.2708017937E+00;1.0000000000E+00;1.5448650224E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7783000000E+02;5.0779000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Isobutane;dum_sorb;dum_subtype;refrig;4.0781700000E+02;2.2436000000E+02;-1.0000000000E+00;1.6056200000E+00;3.3000000000E-01;-2.3740950000E+00;1.0000000000E+00;2.0987630000E+00;1.1000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1373000000E+02;4.0781700000E+02;;"Miyamoto, H.; Watanabe, K. (2002): A Thermodynamic Property Model for Fluid-Phase Isobutane. In: International Journal of Thermophysics 23 (2), S. 477–499. DOI: 10.1023/A:1015161519954."
Krypton;dum_sorb;dum_subtype;refrig;2.0948000000E+02;9.1000000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.7714384615E+00;3.5000000000E-01;3.7630439560E-01;6.6666666667E-01;1.4370582418E-01;1.0000000000E+00;1.9636758242E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1578000000E+02;2.0948000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Methane;dum_sorb;dum_subtype;refrig;1.9056400000E+02;1.6266000000E+02;-1.0000000000E+00;1.9906389000E+00;3.5400000000E-01;-7.8756197000E-01;5.0000000000E-01;3.6976723000E-02;2.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;9.0694000000E+01;1.9056400000E+02;;"Setzmann, U.; Wagner, W. (1991): A New Equation of State and Tables of Thermodynamic Properties for Methane Covering the Range from the Melting Line to 625 K at Pressures up to 100 MPa. In: Journal of Physical and Chemical Reference Data 20 (6), S. 1061–1155. DOI: 10.1063/1.555898."
Methane;dum_sorb;dum_subtype;refrig;1.9056000000E+02;1.6300000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.6433092025E+00;3.5000000000E-01;7.9383926380E-01;6.6666666667E-01;-4.5157668712E-01;1.0000000000E+00;4.2927239264E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;9.0694000000E+01;1.9056000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Methanol;dum_sorb;dum_subtype;refrig;5.1338000000E+02;2.8200000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;5.8425921986E-01;3.5000000000E-01;8.0062687943E+00;6.6666666667E-01;-1.2573376950E+01;1.0000000000E+00;6.8430411348E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7561000000E+02;5.1338000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Nitrogen;dum_sorb;dum_subtype;refrig;1.2619200000E+02;3.1300000000E+02;-1.0000000000E+00;1.4865423700E+00;3.2940000000E-01;-2.8047606600E-01;6.6666666667E-01;8.9414308500E-02;2.6666666667E+00;-1.1987986600E-01;5.8333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;6.3151000000E+01;1.2619200000E+02;;"Span, Roland; Lemmon, Eric W.; Jacobsen, Richard T.; Wagner, Wolfgang; Yokozeki, Akimichi (2000): A Reference Equation of State for the Thermodynamic Properties of Nitrogen for Temperatures from 63.151 to 1000 K and Pressures to 2200 MPa. In: Journal of Physical and Chemical Reference Data 29 (6), S. 1361–1433. DOI: 10.1063/1.1349047."
Nitrogen;dum_sorb;dum_subtype;refrig;1.2619000000E+02;3.1300000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.5045444089E+00;3.5000000000E-01;1.5758808307E+00;6.6666666667E-01;-1.7906354633E+00;1.0000000000E+00;1.2447629393E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;6.3151000000E+01;1.2619000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Oxygen;dum_sorb;dum_subtype;refrig;1.5460000000E+02;4.2700000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.7526295082E+00;3.5000000000E-01;9.2795690867E-01;6.6666666667E-01;-9.7479836066E-01;1.0000000000E+00;8.7281124122E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;5.4361000000E+01;1.5460000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Propane;dum_sorb;dum_subtype;refrig;3.6989000000E+02;2.2048500000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.8220500000E+00;3.4500000000E-01;6.5802000000E-01;7.4000000000E-01;2.1109000000E-01;2.6000000000E+00;8.3973000000E-02;7.2000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.5525000000E+01;3.6989000000E+02;;"Lemmon, Eric W.; McLinden, Mark O.; Wagner, Wolfgang (2009): Thermodynamic Properties of Propane. III. A Reference Equation of State for Temperatures from the Melting Line to 650 K and Pressures up to 1000 MPa. In: J. Chem. Eng. Data 54 (12), S. 3141–3180. DOI: 10.1021/je900217v."
Propane;dum_sorb;dum_subtype;refrig;3.6982000000E+02;2.2100000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.6889054299E+00;3.5000000000E-01;1.4668647059E+00;6.6666666667E-01;-1.9529628959E+00;1.0000000000E+00;1.4820171946E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.5525000000E+01;3.6982000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Propylene;dum_sorb;dum_subtype;refrig;3.6421000000E+02;2.3000000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.6228178261E+00;3.5000000000E-01;1.4094656522E+00;6.6666666667E-01;-1.8765426087E+00;1.0000000000E+00;7.9325328467E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.7953000000E+01;3.6421000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-12;dum_sorb;dum_subtype;refrig;3.8512000000E+02;5.6500000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.6191869027E+00;3.5000000000E-01;1.7609338053E+00;6.6666666667E-01;-2.3439164602E+00;1.0000000000E+00;1.7009458407E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1610000000E+02;3.8512000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-123;dum_sorb;dum_subtype;refrig;4.5683100000E+02;5.5000005181E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;2.0321254100E+00;3.5500000000E-01;6.1513861500E-01;6.6666666667E-01;-7.8030937500E-01;1.0000000000E+00;9.5369802300E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6600000000E+02;4.5683100000E+02;;"Younglove, Ben A.; McLinden, Mark O. (1994): An International Standard Equation of State for the Thermodynamic Properties of Refrigerant 123 (2,2‐Dichloro‐1,1,1‐Trifluoroethane). In: Journal of Physical and Chemical Reference Data 23 (5), S. 731–779. DOI: 10.1063/1.555950."
R-1234ze(E) ;dum_sorb;dum_subtype;refrig;3.8251300000E+02;4.8923800000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.1913000000E+00;2.7000000000E-01;2.2456000000E+00;7.0000000000E-01;-1.7747000000E+00;1.2500000000E+00;1.3096000000E+00;1.9000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6900000000E+02;3.8251300000E+02;;"Thol, Monika; Lemmon, Eric W. (2016): Equation of State for the Thermodynamic Properties of trans-1,3,3,3-Tetrafluoropropene [R-1234ze(E)]. In: Int J Thermophys 37 (3), S. 3710. DOI: 10.1007/s10765-016-2040-6."
R-125;dum_sorb;dum_subtype;refrig;3.3917300000E+02;5.7357558000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.6684000000E+00;3.3333333333E-01;8.8415000000E-01;6.0000000000E-01;4.4383000000E-01;2.9000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7252000000E+02;3.3917300000E+02;;"Lemmon, Eric W.; Jacobsen, Richard T. (2005): A New Functional Form and New Fitting Techniques for Equations of State with Application to Pentafluoroethane (HFC-125). In: Journal of Physical and Chemical Reference Data 34 (1), S. 69–108. DOI: 10.1063/1.1797813."
R-134a;dum_sorb;dum_subtype;refrig;3.7418000000E+02;1.0000000000E+00;1.0000000000E+00;5.1820000000E+02;0.0000000000E+00;8.8413000000E+02;3.3333333333E-01;4.8584000000E+02;6.6666666667E-01;1.9329000000E+02;3.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6985000000E+02;3.7418000000E+02;;"Tillner-Roth, Reiner; Baehr, Hans Dieter (1994): An International Standard Formulation for the Thermodynamic Properties of 1,1,1,2‐Tetrafluoroethane (HFC‐134a) for Temperatures from 170 K to 455 K and Pressures up to 70 MPa. In: Journal of Physical and Chemical Reference Data 23 (5), S. 657–729. DOI: 10.1063/1.555958."
R-142b;dum_sorb;dum_subtype;refrig;4.1025000000E+02;4.3500000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;-2.7671500000E-01;3.3333333333E-01;1.0147275000E+01;6.6666666667E-01;-1.3917142000E+01;1.0000000000E+00;7.1135587000E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.4272000000E+02;4.1025000000E+02;;McLinden, M. O.: Physical Properties of Alternatives to the Fully Halogenated Chlorofluorocarbons.
R-143a;dum_sorb;dum_subtype;refrig;3.4585700000E+02;4.3099493800E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.7950000000E+00;3.3333333333E-01;8.7090000000E-01;6.6666666667E-01;3.1160000000E-01;2.6666666667E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6134000000E+02;3.4585700000E+02;;"Lemmon, Eric W.; Jacobsen, Richard T. (2000): An International Standard Formulation for the Thermodynamic Properties of 1,1,1-Trifluoroethane (HFC-143a) for Temperatures From 161 to 450 K and Pressures to 50 MPa. In: Journal of Physical and Chemical Reference Data 29 (4), S. 521–552. DOI: 10.1063/1.1318909."
R-143a;dum_sorb;dum_subtype;refrig;3.4586000000E+02;4.3100000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;2.0645211137E+00;3.5000000000E-01;3.6986890951E-01;6.6666666667E-01;-6.3950812065E-02;1.0000000000E+00;5.0605406032E-01;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6134000000E+02;3.4586000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-22;dum_sorb;dum_subtype;refrig;3.6928000000E+02;5.2000000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.7596003300E+00;3.3333333333E-01;7.8536315500E-01;6.6666666667E-01;1.8887004100E-01;1.6666666667E+00;2.0381812400E-01;4.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1573000000E+02;3.6928000000E+02;;"Wagner, W.; Marx, V.; Pruβ, A. (1993): A new equation of state for chlorodifluoromethane (R22) covering the entire fluid region from 116 K to 550 K at pressures up to 200 MPa. In: International Journal of Refrigeration 16 (6), S. 373–389. DOI: 10.1016/0140-7007(93)90055-D."
R-22;dum_sorb;dum_subtype;refrig;3.6928000000E+02;5.2000000000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;1.7386982692E+00;3.5000000000E-01;1.6810934615E+00;6.6666666667E-01;-2.2617965385E+00;1.0000000000E+00;1.6942423077E+00;1.3333333333E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1573000000E+02;3.6928000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-227ea ;dum_sorb;dum_subtype;refrig;3.7490000000E+02;5.9425485000E+02;1.0000000000E+00;1.0000000000E+00;0.0000000000E+00;-2.9926000000E-01;1.5000000000E-01;2.8025000000E+00;3.0000000000E-01;-1.9602000000E+00;4.4000000000E-01;2.0784000000E+00;6.0000000000E-01;2.1701000000E-01;2.7500000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.4635000000E+02;3.7490000000E+02;;"Lemmon, Eric W.; Span, Roland (2015): Thermodynamic Properties of R-227ea, R-365mfc, R-115, and R-13I1. In: J. Chem. Eng. Data 60 (12), S. 3745–3758. DOI: 10.1021/acs.jced.5b00684."
