refrigerant;sorbent;sorbent-subtype;type;a;b;c;validity-temperature-min;validity-temperature-max;comment;literature
Argon;dum_sorb;dum_subtype;refrig;3.7347900000E+00;3.0268300000E+02;-6.0830000000E+00;9.0940000000E+01;1.0148000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Benzene;dum_sorb;dum_subtype;refrig;4.7258300000E+00;1.6606520000E+03;-1.4610000000E+00;3.3340000000E+02;3.7350000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Benzene;dum_sorb;dum_subtype;refrig;1.4591000000E-01;3.9165000000E+01;-2.6123600000E+02;2.9790000000E+02;3.1800000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Benzene;dum_sorb;dum_subtype;refrig;4.6036200000E+00;1.7010730000E+03;2.0806000000E+01;4.2156000000E+02;5.5480000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Benzene;dum_sorb;dum_subtype;refrig;4.0181400000E+00;1.2038350000E+03;-5.3226000000E+01;2.8770000000E+02;3.5407000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Butane;dum_sorb;dum_subtype;refrig;4.3557600000E+00;1.1755810000E+03;-2.0710000000E+00;2.7266000000E+02;4.2500000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Butane;dum_sorb;dum_subtype;refrig;3.8500200000E+00;9.0965000000E+02;-3.6146000000E+01;1.9511000000E+02;2.7281000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Butane;dum_sorb;dum_subtype;refrig;4.7081200000E+00;1.2004750000E+03;-1.3013000000E+01;1.3542000000E+02;2.1289000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
CarbonDioxide;dum_sorb;dum_subtype;refrig;6.8122800000E+00;1.3016790000E+03;-3.4940000000E+00;1.5426000000E+02;1.9589000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Cyclohexane;dum_sorb;dum_subtype;refrig;4.1398300000E+00;1.3165540000E+03;-3.5581000000E+01;3.2300000000E+02;5.2300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Cyclohexane;dum_sorb;dum_subtype;refrig;3.9920000000E+00;1.2169300000E+03;-4.8621000000E+01;3.0300000000E+02;3.4300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Cyclohexane;dum_sorb;dum_subtype;refrig;3.1712500000E+00;7.8063700000E+02;-1.0729000000E+02;3.1570000000E+02;3.5390000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Cyclohexane;dum_sorb;dum_subtype;refrig;3.9698800000E+00;1.2035260000E+03;-5.0287000000E+01;2.9306000000E+02;3.5473000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Cyclohexene;dum_sorb;dum_subtype;refrig;3.9973000000E+00;1.2219000000E+03;-4.9980000000E+01;3.1002000000E+02;3.6453000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Ethanol;dum_sorb;dum_subtype;refrig;5.2467700000E+00;1.5986730000E+03;-4.6424000000E+01;2.9277000000E+02;3.6663000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Ethanol;dum_sorb;dum_subtype;refrig;4.9253100000E+00;1.4325260000E+03;-6.1819000000E+01;3.6480000000E+02;5.1391000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Ethanol;dum_sorb;dum_subtype;refrig;5.3722900000E+00;1.6704090000E+03;-4.0191000000E+01;2.7300000000E+02;3.5170000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
EthyleneGlycol;dum_sorb;dum_subtype;refrig;4.9701200000E+00;1.9149510000E+03;-8.4996000000E+01;3.2300000000E+02;4.7300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Hexane;dum_sorb;dum_subtype;refrig;4.0026600000E+00;1.1715300000E+03;-4.8784000000E+01;2.8618000000E+02;3.4269000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Hexane;dum_sorb;dum_subtype;refrig;3.4560400000E+00;1.0440380000E+03;-5.3893000000E+01;1.7770000000E+02;2.6493000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Isobutane;dum_sorb;dum_subtype;refrig;4.3281000000E+00;1.1321080000E+03;9.1800000000E-01;2.6131000000E+02;4.0812000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Isobutane;dum_sorb;dum_subtype;refrig;3.9441700000E+00;9.1214100000E+02;-2.9808000000E+01;1.8806000000E+02;2.6154000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Krypton;dum_sorb;dum_subtype;refrig;4.2064000000E+00;5.3900400000E+02;8.8550000000E+00;1.2668000000E+02;2.0800000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Methane;dum_sorb;dum_subtype;refrig;3.9895000000E+00;4.4302800000E+02;-4.9000000000E-01;9.0990000000E+01;1.8999000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Methane;dum_sorb;dum_subtype;refrig;2.0025300000E+00;1.2581900000E+02;-4.8823000000E+01;9.6890000000E+01;1.1019000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Methane;dum_sorb;dum_subtype;refrig;3.8023500000E+00;4.0310600000E+02;-5.4790000000E+00;9.3040000000E+01;1.0784000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Methane;dum_sorb;dum_subtype;refrig;4.2206100000E+00;5.1668900000E+02;1.1223000000E+01;1.1000000000E+02;1.9050000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Methanol;dum_sorb;dum_subtype;refrig;5.1585300000E+00;1.5696130000E+03;-3.4846000000E+01;3.5350000000E+02;5.1263000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Methanol;dum_sorb;dum_subtype;refrig;5.2040900000E+00;1.5813410000E+03;-3.3500000000E+01;2.8810000000E+02;3.5683000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Methanol;dum_sorb;dum_subtype;refrig;5.3130100000E+00;1.6765690000E+03;-2.1728000000E+01;3.5300000000E+02;4.8300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Neon;dum_sorb;dum_subtype;refrig;3.7564100000E+00;9.5599000000E+01;-1.5030000000E+00;1.5900000000E+01;2.7000000000E+01;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Nitrogen;dum_sorb;dum_subtype;refrig;3.7362000000E+00;2.6465100000E+02;-6.7880000000E+00;6.3140000000E+01;1.2600000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Nitrogen;dum_sorb;dum_subtype;refrig;3.6379200000E+00;2.5787700000E+02;-6.3440000000E+00;6.3140000000E+01;7.8000000000E+01;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Oxygen;dum_sorb;dum_subtype;refrig;3.9523000000E+00;3.4002400000E+02;-4.1440000000E+00;5.4360000000E+01;1.5433000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Propane;dum_sorb;dum_subtype;refrig;4.5367800000E+00;1.1493600000E+03;2.4906000000E+01;2.7760000000E+02;3.6080000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Propane;dum_sorb;dum_subtype;refrig;3.9829200000E+00;8.1929600000E+02;-2.4417000000E+01;2.3060000000E+02;3.2070000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Propane;dum_sorb;dum_subtype;refrig;4.0115800000E+00;8.3426000000E+02;-2.2763000000E+01;1.6602000000E+02;2.3141000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Propylene;dum_sorb;dum_subtype;refrig;3.9748800000E+00;7.9581900000E+02;-2.4884000000E+01;1.6581000000E+02;2.2598000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-12;dum_sorb;dum_subtype;refrig;3.8110900000E+00;7.8207200000E+02;-3.7773000000E+01;1.5470000000E+02;2.4340000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-13 B1;dum_sorb;dum_subtype;refrig;4.5855200000E+00;1.0183100000E+03;7.0860000000E+00;1.2950000000E+02;2.1540000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-143a;dum_sorb;dum_subtype;refrig;4.0242300000E+00;7.8664500000E+02;-3.0093000000E+01;1.7360000000E+02;2.2578000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-152a;dum_sorb;dum_subtype;refrig;4.2340600000E+00;8.9617100000E+02;-3.4714000000E+01;1.6070000000E+02;2.4670000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-22;dum_sorb;dum_subtype;refrig;4.3656700000E+00;9.4757700000E+02;-1.4964000000E+01;2.3240000000E+02;3.5850000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-22;dum_sorb;dum_subtype;refrig;4.1769300000E+00;8.5767300000E+02;-2.6667000000E+01;2.2960000000E+02;2.3640000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-23;dum_sorb;dum_subtype;refrig;4.2554800000E+00;7.1808900000E+02;-2.2013000000E+01;1.4536000000E+02;1.9119000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
R-32;dum_sorb;dum_subtype;refrig;4.2622400000E+00;8.2109200000E+02;-2.8554000000E+01;1.9119000000E+02;2.4133000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
TFE;dum_sorb;dum_subtype;refrig;3.5694600000E+00;8.5592100000E+02;-1.1193200000E+02;2.7280000000E+02;2.9860000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
THF;dum_sorb;dum_subtype;refrig;4.1211800000E+00;1.2029420000E+03;-4.6818000000E+01;2.9629000000E+02;3.7280000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Toluene;dum_sorb;dum_subtype;refrig;4.2367900000E+00;1.4264480000E+03;-4.5957000000E+01;2.7313000000E+02;2.9789000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Toluene;dum_sorb;dum_subtype;refrig;4.0824500000E+00;1.3463820000E+03;-5.3508000000E+01;3.0300000000E+02;3.4300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Toluene;dum_sorb;dum_subtype;refrig;4.5443600000E+00;1.7381230000E+03;3.9400000000E-01;4.2000000000E+02;5.8000000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Toluene;dum_sorb;dum_subtype;refrig;4.0782700000E+00;1.3439430000E+03;-5.3773000000E+01;3.0852000000E+02;3.8466000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Toluene;dum_sorb;dum_subtype;refrig;4.1415700000E+00;1.3775780000E+03;-5.0507000000E+01;2.7300000000E+02;3.2300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Water;dum_sorb;dum_subtype;refrig;3.5595900000E+00;6.4374800000E+02;-1.9804300000E+02;3.7900000000E+02;5.8300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Water;dum_sorb;dum_subtype;refrig;5.4022100000E+00;1.8386750000E+03;-3.1737000000E+01;2.7300000000E+02;3.0300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Water;dum_sorb;dum_subtype;refrig;5.2038900000E+00;1.7339260000E+03;-3.9485000000E+01;3.0400000000E+02;3.3300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Water;dum_sorb;dum_subtype;refrig;5.0768000000E+00;1.6597930000E+03;-4.5854000000E+01;3.3400000000E+02;3.6300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Water;dum_sorb;dum_subtype;refrig;5.0835400000E+00;1.6631250000E+03;-4.5622000000E+01;3.4400000000E+02;3.7300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Water;dum_sorb;dum_subtype;refrig;6.2096300000E+00;2.3547310000E+03;7.5590000000E+00;2.9300000000E+02;3.4300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
Water;dum_sorb;dum_subtype;refrig;4.6543000000E+00;1.4352640000E+03;-6.4848000000E+01;2.5590000000E+02;3.7300000000E+02;;P.J. Linstrom and W.G. Mallard, Eds., NIST Chemistry WebBook, NIST Standard Reference Database Number 69, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303.
