refrigerant;sorbent;sorbent-subtype;type;T_crit;p_crit;fac1;exp1;fac2;exp2;fac3;exp3;fac4;exp4;fac5;exp5;fac6;exp6;fac7;exp7;validity-temperature-min;validity-temperature-max;comment;literature
CarbonDioxide;dum_sorb;dum_subtype;refrig;3.0412820000E+02;7.3773000000E+06;-7.0602087000E+00;1.0000000000E+00;1.9391218000E+00;1.5000000000E+00;-1.6463597000E+00;2.0000000000E+00;-3.2995634000E+00;4.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.1659000000E+02;3.0412820000E+02;;"Span, Roland; Wagner, Wolfgang (1996): A New Equation of State for Carbon Dioxide Covering the Fluid Region from the Triple‐Point Temperature to 1100 K at Pressures up to 800 MPa. In: Journal of Physical and Chemical Reference Data 25 (6), S. 1509–1596. DOI: 10.1063/1.555991."
CarbonDioxide;dum_sorb;dum_subtype;refrig;3.0413000000E+02;7.3770000000E+06;-7.0291600000E+00;1.0000000000E+00;1.5393700000E+00;1.5000000000E+00;-2.2833000000E+00;2.5000000000E+00;-2.3485300000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.1659000000E+02;3.0413000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Cyclohexane;dum_sorb;dum_subtype;refrig;5.5360000000E+02;4.0750000000E+06;-7.0097900000E+00;1.0000000000E+00;1.5747500000E+00;1.5000000000E+00;-1.9682000000E+00;2.5000000000E+00;-3.2609500000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.7986000000E+02;5.5360000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Ethanol;dum_sorb;dum_subtype;refrig;5.1471000000E+02;6.2680000000E+06;-8.9416100000E+00;1.0000000000E+00;1.6176100000E+00;1.5000000000E+00;-5.1142800000E+01;3.4000000000E+00;5.3136000000E+01;3.7000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.5900000000E+02;5.1471000000E+02;;"Schroeder, J. A.; Penoncello, S. G.; Schroeder, J. S. (2014): A Fundamental Equation of State for Ethanol. In: Journal of Physical and Chemical Reference Data 43 (4), S. 43102. DOI: 10.1063/1.4895394."
Ethanol;dum_sorb;dum_subtype;refrig;5.1390000000E+02;6.1480000000E+06;-8.3380100000E+00;1.0000000000E+00;8.7190000000E-02;1.5000000000E+00;-3.3057800000E+00;2.5000000000E+00;-2.5986000000E-01;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.5900000000E+02;5.1390000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
EthyleneGlycol;dum_sorb;dum_subtype;refrig;7.1915000000E+02;8.2000000000E+06;-7.8557500000E+00;1.0000000000E+00;1.0676200000E+00;1.5000000000E+00;-5.1427100000E+00;2.5000000000E+00;-1.6566000000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.6060000000E+02;7.1915000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Hexane;dum_sorb;dum_subtype;refrig;5.0779000000E+02;3.0420000000E+06;-7.6107500000E+00;1.0000000000E+00;2.0052700000E+00;1.5000000000E+00;-2.7415800000E+00;2.5000000000E+00;-2.8282400000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7783000000E+02;5.0779000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Helium;dum_sorb;dum_subtype;refrig;5.2000000000E+00;2.2700000000E+05;-4.0685600000E+00;1.0000000000E+00;1.0437900000E+00;1.5000000000E+00;1.1159400000E+00;2.5000000000E+00;8.8350000000E-02;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.1768000000E+00;5.2000000000E+00;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Isobutane;dum_sorb;dum_subtype;refrig;4.0781000000E+02;3.6290000000E+06;-6.8509310300E+00;1.0000000000E+00;1.3654319800E+00;1.5000000000E+00;-1.3254269100E+00;2.5000000000E+00;-2.5619099400E+00;4.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1373000000E+02;4.0781000000E+02;;"Bücker, D.; Wagner, W. (2006): Reference Equations of State for the Thermodynamic Properties of Fluid Phase n-Butane and Isobutane. In: Journal of Physical and Chemical Reference Data 35 (2), S. 929–1019. DOI: 10.1063/1.1901687."
Isobutane;dum_sorb;dum_subtype;refrig;4.0781700000E+02;3.6400000000E+06;-6.9955650000E+00;1.0000000000E+00;1.7547580000E+00;1.5000000000E+00;-1.8338310000E+00;2.5000000000E+00;-2.1919700000E+00;4.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1373000000E+02;4.0781700000E+02;;"Miyamoto, H.; Watanabe, K. (2002): A Thermodynamic Property Model for Fluid-Phase Isobutane. In: International Journal of Thermophysics 23 (2), S. 477–499. DOI: 10.1023/A:1015161519954."
Krypton;dum_sorb;dum_subtype;refrig;5.2000000000E+00;2.2700000000E+05;-5.9839600000E+00;1.0000000000E+00;1.3433400000E+00;1.5000000000E+00;-6.6521000000E-01;2.5000000000E+00;-1.3001200000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1578000000E+02;5.2000000000E+00;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Methane;dum_sorb;dum_subtype;refrig;1.9056400000E+02;4.5992000000E+06;-6.0362190000E+00;1.0000000000E+00;1.4093530000E+00;1.5000000000E+00;-4.9451990000E-01;2.0000000000E+00;-1.4430480000E+00;4.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;9.0694000000E+01;1.9056400000E+02;;"Setzmann, U.; Wagner, W. (1991): A New Equation of State and Tables of Thermodynamic Properties for Methane Covering the Range from the Melting Line to 625 K at Pressures up to 100 MPa. In: Journal of Physical and Chemical Reference Data 20 (6), S. 1061–1155. DOI: 10.1063/1.555898."
Methane;dum_sorb;dum_subtype;refrig;1.9056000000E+02;4.5990000000E+06;-6.0238800000E+00;1.0000000000E+00;1.2681300000E+00;1.5000000000E+00;-5.6948000000E-01;2.5000000000E+00;-1.3764800000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;9.0694000000E+01;1.9056000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Methanol;dum_sorb;dum_subtype;refrig;5.1260000000E+02;8.1035000000E+06;-8.8570247000E+00;1.0000000000E+00;2.4072447000E+00;1.5000000000E+00;-2.6452501000E+00;2.0000000000E+00;-1.5044111000E+00;3.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7561000000E+02;5.1260000000E+02;;"Kume, D.; Sakoda, N.; Uematsu, M.: An Equation of STate for Thermodynamic Properties for Methanol."
Methanol;dum_sorb;dum_subtype;refrig;5.1338000000E+02;8.2160000000E+06;-8.7296300000E+00;1.0000000000E+00;1.4586000000E+00;1.5000000000E+00;-2.7844900000E+00;2.5000000000E+00;7.0669000000E-01;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7561000000E+02;5.1338000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Neon;dum_sorb;dum_subtype;refrig;4.4490000000E+01;2.6790000000E+06;-5.7423800000E+00;1.0000000000E+00;1.0886000000E+00;1.5000000000E+00;-5.8960000000E-02;2.5000000000E+00;-1.1985100000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;2.4556000000E+01;4.4490000000E+01;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Nitrogen;dum_sorb;dum_subtype;refrig;1.2619200000E+02;3.3958000000E+06;-6.1244528400E+00;1.0000000000E+00;1.2632722000E+00;1.5000000000E+00;-7.6591008200E-01;2.5000000000E+00;-1.7757056400E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;6.3151000000E+01;1.2619200000E+02;;"Span, Roland; Lemmon, Eric W.; Jacobsen, Richard T.; Wagner, Wolfgang; Yokozeki, Akimichi (2000): A Reference Equation of State for the Thermodynamic Properties of Nitrogen for Temperatures from 63.151 to 1000 K and Pressures to 2200 MPa. In: Journal of Physical and Chemical Reference Data 29 (6), S. 1361–1433. DOI: 10.1063/1.1349047."
Nitrogen;dum_sorb;dum_subtype;refrig;1.2619000000E+02;3.3960000000E+06;-6.1249800000E+00;1.0000000000E+00;1.2649900000E+00;1.5000000000E+00;-7.6765000000E-01;2.5000000000E+00;-1.7817300000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;6.3151000000E+01;1.2619000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Oxygen;dum_sorb;dum_subtype;refrig;1.5460000000E+02;5.0460000000E+06;-6.0514800000E+00;1.0000000000E+00;1.2350600000E+00;1.5000000000E+00;-6.2883000000E-01;2.5000000000E+00;-1.6128800000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;5.4361000000E+01;1.5460000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Propane;dum_sorb;dum_subtype;refrig;3.6989000000E+02;4.2512000000E+06;-6.7722000000E+00;1.0000000000E+00;1.6938000000E+00;1.5000000000E+00;-1.3341000000E+00;2.2000000000E+00;-3.1876000000E+00;4.8000000000E+00;9.4937000000E-01;6.2000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.5525000000E+01;3.6989000000E+02;;"Lemmon, Eric W.; McLinden, Mark O.; Wagner, Wolfgang (2009): Thermodynamic Properties of Propane. III. A Reference Equation of State for Temperatures from the Melting Line to 650 K and Pressures up to 1000 MPa. In: J. Chem. Eng. Data 54 (12), S. 3141–3180. DOI: 10.1021/je900217v."
Propane;dum_sorb;dum_subtype;refrig;3.6982000000E+02;4.2480000000E+06;-6.7148000000E+00;1.0000000000E+00;1.3838800000E+00;1.5000000000E+00;-1.3096500000E+00;2.5000000000E+00;-2.5682700000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.5525000000E+01;3.6982000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
Propylene;dum_sorb;dum_subtype;refrig;3.6421000000E+02;4.5550000000E+06;-6.5997100000E+00;1.0000000000E+00;1.1064700000E+00;1.5000000000E+00;-8.4999000000E-01;2.5000000000E+00;-3.3713900000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;8.7953000000E+01;3.6421000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-12;dum_sorb;dum_subtype;refrig;3.8512000000E+02;4.1360000000E+06;-6.9208500000E+00;1.0000000000E+00;1.6261500000E+00;1.5000000000E+00;-1.7393900000E+00;2.5000000000E+00;-2.5828200000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1610000000E+02;3.8512000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-123;dum_sorb;dum_subtype;refrig;4.5683100000E+02;3.6618000000E+06;-7.4475526800E+00;1.0000000000E+00;2.2220582800E+00;1.5000000000E+00;-1.9000772200E+00;2.0000000000E+00;-3.1947182700E+00;4.0000000000E+00;-1.2998231600E+00;6.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6600000000E+02;4.5683100000E+02;;"Younglove, Ben A.; McLinden, Mark O. (1994): An International Standard Equation of State for the Thermodynamic Properties of Refrigerant 123 (2,2‐Dichloro‐1,1,1‐Trifluoroethane). In: Journal of Physical and Chemical Reference Data 23 (5), S. 731–779. DOI: 10.1063/1.555950."
R-1234ze(E) ;dum_sorb;dum_subtype;refrig;3.8251300000E+02;3.6349000000E+06;-7.5888000000E+00;1.0000000000E+00;1.9696000000E+00;1.5000000000E+00;-2.0827000000E+00;2.2000000000E+00;-4.1238000000E+00;4.6000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6900000000E+02;3.8251300000E+02;;"Thol, Monika; Lemmon, Eric W. (2016): Equation of State for the Thermodynamic Properties of trans-1,3,3,3-Tetrafluoropropene [R-1234ze(E)]. In: Int J Thermophys 37 (3), S. 3710. DOI: 10.1007/s10765-016-2040-6."
R-125;dum_sorb;dum_subtype;refrig;3.3917300000E+02;3.6177000000E+06;-7.5295000000E+00;1.0000000000E+00;1.9026000000E+00;1.5000000000E+00;-2.2966000000E+00;2.3000000000E+00;-3.4480000000E+00;4.6000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.7252000000E+02;3.3917300000E+02;;"Lemmon, Eric W.; Jacobsen, Richard T. (2005): A New Functional Form and New Fitting Techniques for Equations of State with Application to Pentafluoroethane (HFC-125). In: Journal of Physical and Chemical Reference Data 34 (1), S. 69–108. DOI: 10.1063/1.1797813."
R-134a;dum_sorb;dum_subtype;refrig;3.7418000000E+02;4.0562900000E+06;-7.6865560000E+00;1.0000000000E+00;2.3117910000E+00;1.5000000000E+00;-2.0395540000E+00;2.0000000000E+00;-3.5837580000E+00;4.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6985000000E+02;3.7418000000E+02;;"Tillner-Roth, Reiner; Baehr, Hans Dieter (1994): An International Standard Formulation for the Thermodynamic Properties of 1,1,1,2‐Tetrafluoroethane (HFC‐134a) for Temperatures from 170 K to 455 K and Pressures up to 70 MPa. In: Journal of Physical and Chemical Reference Data 23 (5), S. 657–729. DOI: 10.1063/1.555958."
R-143a;dum_sorb;dum_subtype;refrig;3.4585700000E+02;3.7610000000E+06;-7.3526000000E+00;1.0000000000E+00;1.9162000000E+00;1.5000000000E+00;-1.2203000000E+00;2.0000000000E+00;-2.0532000000E+00;3.5000000000E+00;-1.7354000000E+00;5.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6134000000E+02;3.4585700000E+02;;"Lemmon, Eric W.; Jacobsen, Richard T. (2000): An International Standard Formulation for the Thermodynamic Properties of 1,1,1-Trifluoroethane (HFC-143a) for Temperatures From 161 to 450 K and Pressures to 50 MPa. In: Journal of Physical and Chemical Reference Data 29 (4), S. 521–552. DOI: 10.1063/1.1318909."
R-143a;dum_sorb;dum_subtype;refrig;3.4586000000E+02;3.7620000000E+06;-7.3599500000E+00;1.0000000000E+00;1.7120300000E+00;1.5000000000E+00;-2.0187900000E+00;2.5000000000E+00;-2.9841300000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.6134000000E+02;3.4586000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-22;dum_sorb;dum_subtype;refrig;3.6928000000E+02;4.9885000000E+06;-7.1499936900E+00;1.0000000000E+00;2.2215375400E+00;1.5000000000E+00;-1.9239020100E+00;2.0000000000E+00;-3.2597318200E+00;4.5000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1573000000E+02;3.6928000000E+02;;"Wagner, W.; Marx, V.; Pruβ, A. (1993): A new equation of state for chlorodifluoromethane (R22) covering the entire fluid region from 116 K to 550 K at pressures up to 200 MPa. In: International Journal of Refrigeration 16 (6), S. 373–389. DOI: 10.1016/0140-7007(93)90055-D."
R-22;dum_sorb;dum_subtype;refrig;3.6928000000E+02;4.9880000000E+06;-7.0921000000E+00;1.0000000000E+00;1.6190500000E+00;1.5000000000E+00;-2.0122100000E+00;2.5000000000E+00;-2.7312300000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1573000000E+02;3.6928000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-227ea ;dum_sorb;dum_subtype;refrig;3.7490000000E+02;2.9250000000E+06;-7.7961000000E+00;1.0000000000E+00;2.1366000000E+00;1.5000000000E+00;-2.6023000000E+00;2.2000000000E+00;-5.7444000000E+00;4.8000000000E+00;2.3982000000E+00;6.2000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.4635000000E+02;3.7490000000E+02;;"Lemmon, Eric W.; Span, Roland (2015): Thermodynamic Properties of R-227ea, R-365mfc, R-115, and R-13I1. In: J. Chem. Eng. Data 60 (12), S. 3745–3758. DOI: 10.1021/acs.jced.5b00684."
R-23;dum_sorb;dum_subtype;refrig;2.9929300000E+02;4.8320000000E+06;-7.2631000000E+00;1.0000000000E+00;1.3140000000E+00;1.5000000000E+00;-7.8507000000E-01;2.4000000000E+00;-3.1991000000E+00;3.9000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1802000000E+02;2.9929300000E+02;;"Penoncello, Steven G.; Lemmon, Eric W.; Jacobsen, Richard T.; Shan, Zhengjun (2003): A Fundamental Equation for Trifluoromethane (R-23). In: Journal of Physical and Chemical Reference Data 32 (4), S. 1473–1499. DOI: 10.1063/1.1559671."
R-23;dum_sorb;dum_subtype;refrig;2.9975000000E+02;4.8690000000E+06;-7.3821600000E+00;1.0000000000E+00;1.9623400000E+00;1.5000000000E+00;-2.6839200000E+00;2.5000000000E+00;-1.4317800000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.1802000000E+02;2.9975000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
R-32;dum_sorb;dum_subtype;refrig;3.5136000000E+02;5.7931000000E+06;-7.4614900000E+00;1.0000000000E+00;1.7368700000E+00;1.5000000000E+00;-1.9865600000E+00;2.5000000000E+00;-2.6170900000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3634000000E+02;3.5136000000E+02;;"Weber, L. A.; Silva, A. M. (1994): Measurements of the Vapor Pressures of Difluoromethane, 1-Chloro-1,2,2,2-tetrafluoroethane, and Pentafluoroethane. In: J. Chem. Eng. Data 39 (4), S. 808–812. DOI: 10.1021/je00016a038."
R-32;dum_sorb;dum_subtype;refrig;3.5126000000E+02;5.7830000000E+06;-7.4702700000E+00;1.0000000000E+00;1.7559500000E+00;1.5000000000E+00;-2.0142900000E+00;2.5000000000E+00;-2.6214700000E+00;5.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;0.0000000000E+00;1.3634000000E+02;3.5126000000E+02;;Verein Deutscher Ingenieure (2010): VDI Heat Atlas. 2. Ed. Heidelberg: Springer. Online: http://dx.doi.org/10.1007/978-3-540-77877-6.
