refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;measurements-procedure;measurements-type;pressures;temperatures;loadings;adsorptionPotentials;volumetricLoadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;uncertainty-adsorptionPotential-abs;uncertainty-adsorptionPotential-rel;uncertainty-volumetricLoading-abs;uncertainty-volumetricLoading-rel;comment;literature
Water;silica gel pellet;KD A5BW;ads;;0.0000014;;;;769.1;;;;;;volumetric;isotherms;178.3307176,321.7066239,471.8027804,629.9632374,798.8792647,955.6988415,1105.804508,1255.009914,1426.176591,1568.664917,1753.268925,1912.779772,2063.322889,2218.338776,2377.830603,2539.11344,2701.287028,2889.441357,3000.537872,172.5202371,332.027914,488.8443208,644.7668076,804.2776545,962.8914113,1116.176517,1280.210853,1420.001569,1583.982016,1739.894993,1911.933401,2041.856127,2194.171234,2385.013663,2528.36738,2675.306287,2824.930124;298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15;0.042329083,0.065119836,0.08727597,0.109947731,0.137704377,0.164064861,0.193098678,0.221751723,0.256901679,0.284912173,0.320315977,0.348072622,0.370228756,0.387292073,0.400024115,0.409955902,0.417587194,0.423949249,0.42624181,0.05544983,0.081429543,0.104854914,0.129811304,0.156298712,0.185586376,0.253086033,0.318293129,0.337395159,0.358274122,0.374068201,0.389600499,0.3997782,0.406148188,0.411740767,0.415302566,0.41937206,0.422680011;;;figure;;;;;;;;;;;;"Thu, Kyaw; Chakraborty, Anutosh; Saha, Bidyut Baran; Ng, Kim Choon (2013): Thermo-physical properties of silica gel for adsorption desalination cycle. In: Applied Thermal Engineering 50 (2), S. 1596–1602. DOI: 10.1016/j.applthermaleng.2011.09.038."
Water;silica gel pellet;Fuji RD 2560;ads;;0.00000132;;;;636.4;;;;;;volumetric;isotherms;177.6967317,305.765049,461.4814904,630.1724527,778.5505075,950.0563672,1095.613185,1269.943452,1426.22097,1579.113005,1729.754389,1911.9968,2043.460111,2237.558058,2368.457122,2556.348347,2700.789349,2837.898305,3021.839798,326.3727599,489.3705291,643.4069079,801.9223969,959.5407959,1119.818766,1269.379204,1411.788282,1562.25532,1722.580839,1917.83264,2062.035897,2208.026995,2361.185304,2522.404743,2707.807573,2845.74071;298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15;0.054920716,0.076773026,0.099217911,0.127124486,0.153258887,0.185741858,0.212761552,0.244506778,0.270346081,0.292347527,0.309182381,0.322033414,0.329567927,0.336367076,0.341835111,0.347453076,0.353954747,0.359570331,0.363416915,0.094156825,0.120876663,0.148300133,0.178066141,0.20923783,0.277667204,0.305558706,0.312595044,0.31986619,0.326199687,0.333707229,0.338869061,0.343796877,0.348724693,0.353418494,0.358347896,0.360931589;;;figure;;;;;;;;;;;;"Thu, Kyaw; Chakraborty, Anutosh; Saha, Bidyut Baran; Ng, Kim Choon (2013): Thermo-physical properties of silica gel for adsorption desalination cycle. In: Applied Thermal Engineering 50 (2), S. 1596–1602. DOI: 10.1016/j.applthermaleng.2011.09.038."
Water;silica gel pellet;Mayekawa A++;ads;;0.0000138;;;;836.6;;;;;;volumetric;isotherms;168.4151785,327.5012548,471.9200678,644.5480825,800.2486742,958.2062557,1100.368079,1267.350449,1415.154747,1582.137117,1728.81292,1886.770502,2049.242062,2208.328139,2435.111227,2549.067019,2707.02777,2859.346047,3016.175134,168.4151785,324.1189401,485.4620062,645.6765773,797.9916845,958.2062557,1122.931636,1276.372068,1438.840459,1577.619968,1735.577549,1913.848038,2027.80383,2222.995402,2365.157225,2508.450713,2665.2798,2810.827108;298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15;0.050099199,0.075399076,0.096285972,0.120407838,0.14600202,0.170714081,0.196896872,0.228081253,0.260737157,0.299866175,0.330461947,0.363412155,0.388417728,0.40430224,0.414299868,0.416945436,0.42194306,0.426058564,0.428702545,0.050099199,0.075987685,0.100110344,0.12335009,0.147767847,0.177187194,0.240737141,0.334299012,0.374310942,0.384605255,0.391662217,0.398424876,0.402247661,0.409303831,0.413419335,0.417534838,0.421355244,0.424294323;;;figure;;;;;;;;;;;;"Thu, Kyaw; Chakraborty, Anutosh; Saha, Bidyut Baran; Ng, Kim Choon (2013): Thermo-physical properties of silica gel for adsorption desalination cycle. In: Applied Thermal Engineering 50 (2), S. 1596–1602. DOI: 10.1016/j.applthermaleng.2011.09.038."
Water;zeotype pellet;AQSOA-Z01;ads;;0.0000074;;;;130-250;0.071;;;;;gravimetric;isotherms;476.7,639.9,790,1258.2,1580.7,1896.1,2218,2533.6,2855.4,497.7,683,853.3,1131.2,1394.8,1680.6,2141.3,2809,3365.5,3930.2,4502.6,5059.3,687.9,962.2,1165,1443.3,1923.9,2389.5,2881.6,3851.3,4813.4,5767.6,6721.8,7676,8622.5,1010,1992.2,2998.2,3980.2,4381.7,4984.6,5384.7,5974.5,6375,7972.4,9976.1,11965,13953.9,15954.4,17942.6;298,298,298,298,298,298,298,298,298,308,308,308,308,308,308,308,308,308,308,308,308,318,318,318,318,318,318,318,318,318,318,318,318,318,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333;0.015949,0.136017,0.167787,0.199952,0.206118,0.213261,0.214415,0.216304,0.218824,0.003292,0.005626,0.008043,0.091269,0.154677,0.170958,0.191872,0.202193,0.207485,0.209334,0.214229,0.216344,0.002577,0.004296,0.005222,0.007073,0.022956,0.137594,0.169495,0.187095,0.196753,0.202969,0.205743,0.211429,0.20957,0.000788,0.003098,0.005475,0.010102,0.014402,0.064769,0.096913,0.142109,0.152114,0.176205,0.188868,0.193025,0.197432,0.198568,0.205385;;;figure;;;0.15;;;;;;;;;"Wei Benjamin Teo, How; Chakraborty, Anutosh; Fan, Wu (2017): Improved adsorption characteristics data for AQSOA types zeolites and water systems under static and dynamic conditions. In: Microporous and Mesoporous Materials 242, S. 109–117. DOI: 10.1016/j.micromeso.2017.01.015."
Water;zeotype pellet;AQSOA-Z02;ads;;0.0000037;;;;650-770;0.27;;;;;gravimetric;isotherms;149.4,234.3,328.1,383.6,470.8,629.5,788.2,954.9,1248.5,1605.9,1899.7,2217.3,2527,2844.6,276.7,386.1,574.7,661.9,844.4,1122.2,1408,1685.8,2241.6,2805.3,3385,3932.9,4512.6,5052.5,226.3,288.9,490.2,973.1,1444.2,1924.5,2416.8,2889.2,3838.1,4795,5763.8,6728.7,7681.6,8646.5,603.4,753.6,1459.1,2989.4,3997.8,4990.3,5990.9,7984.2,9953.7,11963,13948.4,15941.9,17959.1;298,298,298,298,298,298,298,298,298,298,298,298,298,298,308,308,308,308,308,308,308,308,308,308,308,308,308,308,318,318,318,318,318,318,318,318,318,318,318,318,318,318,333,333,333,333,333,333,333,333,333,333,333,333,333;0.101236,0.19101,0.246026,0.25123,0.256619,0.263494,0.268697,0.27297,0.280216,0.282628,0.284483,0.287826,0.290238,0.291536,0.090641,0.157738,0.233198,0.239331,0.244905,0.252894,0.258653,0.263483,0.271283,0.276853,0.281493,0.286506,0.290217,0.293742,0.046033,0.080046,0.12679,0.185612,0.238393,0.246752,0.25288,0.257893,0.266154,0.27172,0.277192,0.281457,0.286558,0.289893,0.05272,0.078182,0.131147,0.224622,0.236506,0.244116,0.249681,0.258581,0.265437,0.270805,0.275988,0.279311,0.284122;;;figure;;;0.15;;;;;;;;;"Wei Benjamin Teo, How; Chakraborty, Anutosh; Fan, Wu (2017): Improved adsorption characteristics data for AQSOA types zeolites and water systems under static and dynamic conditions. In: Microporous and Mesoporous Materials 242, S. 109–117. DOI: 10.1016/j.micromeso.2017.01.015."
Water;zeotype pellet;AQSOA-Z05;ads;;0.0000074;;;;210-330;0.07;;;;;gravimetric;isotherms;945.9,1109.4,1281.2,1581.3,1898,2214.5,2539.7,2839.1,849.4,1124.4,1392.6,1504.9,1692.6,1799.7,1969.9,2249.3,2820.5,3374.1,3941.2,4504.8,1443.4,2393.9,2872.6,3070.1,3356.2,3551.3,3847.4,4799.3,5757,6724.7,7688.9,999.6,1999.2,3017.6,3990.3,4987.2,5976,6374.8,6978.4,7988.8,8884.7,9957.7,11979.3,13946.4;298,298,298,298,298,298,298,298,308,308,308,308,308,308,308,308,308,308,308,308,318,318,318,318,318,318,318,318,318,318,318,333,333,333,333,333,333,333,333,333,333,333,333,333;0.128381,0.161933,0.185643,0.2098,0.21621,0.219787,0.222469,0.225151,0.002579,0.003583,0.004647,0.016127,0.050569,0.114069,0.132296,0.166027,0.197862,0.208333,0.215313,0.219333,0.001747,0.003752,0.005702,0.02452,0.060441,0.115004,0.141574,0.1898,0.20589,0.212571,0.217358,0.000463,0.001395,0.002187,0.00265,0.003488,0.00489,0.005545,0.007185,0.101873,0.152315,0.174196,0.205559,0.215973;;;figure;;;0.15;;;;;;;;;"Wei Benjamin Teo, How; Chakraborty, Anutosh; Fan, Wu (2017): Improved adsorption characteristics data for AQSOA types zeolites and water systems under static and dynamic conditions. In: Microporous and Mesoporous Materials 242, S. 109–117. DOI: 10.1016/j.micromeso.2017.01.015."
Water;zeotype pellet;AQSOA-Z01;ads;;0.0000074;;;;132;0.087;;;;;volumetric;isotherms;127,222.2,349.2,453.5,462.4,525.6,679.2,778.4,891.2,918.1,1031.2,1366.8,1620.7,1775,594.3,884.5,1446.6,1627.4,1971.2,2501.4,3213.5,4116.2,5250.4,6529.8,7128.6,680.6,1352,1937.2,2654.1,3329.9,3951.4,4640.4,5089.1,5805.5,6780.1,9334.3;298,298,298,298,298,298,298,298,298,298,298,298,298,298,313,313,313,313,313,313,313,313,313,313,313,338,338,338,338,338,338,338,338,338,338,338;0.003111,0.004949,0.008343,0.013716,0.022342,0.040441,0.075933,0.110718,0.144796,0.160916,0.179864,0.188631,0.197822,0.199943,0.00198,0.015696,0.039734,0.079893,0.13914,0.175198,0.186793,0.194994,0.204044,0.210124,0.212104,0.001131,0.004949,0.008908,0.011312,0.020786,0.029412,0.062924,0.089225,0.118778,0.163744,0.178026;;;figure;;;0.01;;;;;;;;;"Kayal, Sibnath; Baichuan, Sun; Saha, Bidyut Baran (2016): Adsorption characteristics of AQSOA zeolites and water for adsorption chillers. In: International Journal of Heat and Mass Transfer 92, S. 1120–1127. DOI: 10.1016/j.ijheatmasstransfer.2015.09.060."
Water;zeotype pellet;AQSOA-Z02;ads;;0.0000037;0.17;;;590;0.2769;;;;;volumetric;isotherms;104.64,209.33,252.28,291.6,320.3,468.85,690.03,907.65,1078.11,1292.14,1527.91,79.62,427.8,997.12,1497.58,2270.01,2632.52,2980.4,3277.42,4296.5,5493.65,6944.81;298,298,298,298,298,298,298,298,298,298,298,333,333,333,333,333,333,333,333,333,333,333;0.055266,0.106392,0.162691,0.220025,0.25128,0.270946,0.283785,0.290207,0.296214,0.299117,0.304504,0.018837,0.031058,0.058601,0.080139,0.114932,0.143918,0.184081,0.231072,0.27208,0.284116,0.293261;;;figure;;;0.01;;;;;;;;;"Kayal, Sibnath; Baichuan, Sun; Saha, Bidyut Baran (2016): Adsorption characteristics of AQSOA zeolites and water for adsorption chillers. In: International Journal of Heat and Mass Transfer 92, S. 1120–1127. DOI: 10.1016/j.ijheatmasstransfer.2015.09.060."
Water;zeotype powder;ETS-10;ads;;;;;;;;0.58;;;2553;gravimetric;isotherms;39.53,186.63,203.1,385.45,418.72,692.54,748.65,1014.46,1366.56,1431.11,1796.93,1862.07,2206.06,2356.99,2.81,8.5,18.64,103.94,239.09,494.43,677.79,959.45,1125.86,1369.3,1732.37,2138.15,2569.59,2723.47,3108,4535.3,6603.69,14.89,51.76,149.03,200.1,378.42,1029.46,1208.41,1387.22,1740.79,2230.79,2712.37,2759.31,3121.6;298,298,298,298,298,298,298,298,298,298,298,298,298,298,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,348,348,348,348,348,348,348,348,348,348,348,348,348;0.097567,0.109707,0.110885,0.116045,0.117926,0.122186,0.122367,0.125742,0.129432,0.129906,0.132553,0.132197,0.13512,0.135792,0.023958,0.000839,0.044701,0.047502,0.073737,0.091166,0.097851,0.1042,0.108426,0.110942,0.113793,0.117048,0.120124,0.119635,0.12093,0.121731,0.121565,0.000618,0.025312,0.038685,0.040316,0.053235,0.076412,0.078899,0.083731,0.089908,0.096529,0.101453,0.100888,0.103957;;;figure;;;;;;;;;;;;"Pinheiro, Joana M.; Valente, Anabela A.; Salústio, Sérgio; Ferreira, Nelson; Rocha, João; Silva, Carlos M. (2015): Application of the novel ETS-10/water pair in cyclic adsorption heating processes. Measurement of equilibrium and kinetics properties and simulation studies. In: Applied Thermal Engineering 87, S. 412–423. DOI: 10.1016/j.applthermaleng.2015.05.011."
Water;silica gel pellet;Siogel;ads;;0.000002;;;;800;0.4;;620-800;;;gravimetric;isobars;1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,3070,3070,3070,3070,3070,3070,3070,3070,3070,3070,3070,3070,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900;302.9474,312.7129,317.5977,322.6481,327.5342,331.8169,341.9207,351.5859,360.6474,370.4234,379.9798,394.205,417.9873,304.169,312.7768,317.989,322.8184,328.0883,342.0885,351.698,365.8116,380.2005,394.6452,418.5919,306.7554,312.7848,318.1048,323.0428,333.6365,342.6397,351.9741,361.4194,370.8101,380.0914,394.3162,418.4279,312.8472,318.2753,323.1567,328.0399,332.9247,342.5314,352.4147,361.53,371.1402,380.6961,394.8107,419.1967,317.0207,323.0521,328.2635,333.312,342.8079,352.6905,362.1902,371.4706,381.0265,395.3607,419.4165;0.153597,0.092462,0.073513,0.058856,0.046271,0.038423,0.025388,0.016795,0.010718,0.007156,0.004187,0.002545,0.001337,0.225524,0.141451,0.110365,0.089048,0.072911,0.041817,0.029375,0.017521,0.009959,0.006984,0.003409,0.252458,0.185407,0.143222,0.114208,0.077493,0.05262,0.037071,0.027441,0.01944,0.013955,0.009945,0.007701,0.226108,0.174154,0.136556,0.108875,0.089482,0.061352,0.043582,0.031437,0.022252,0.016914,0.010536,0.007108,0.221516,0.165121,0.129743,0.104726,0.071416,0.050094,0.037505,0.027283,0.02165,0.014828,0.007404;;;figure;;;;;;0.1;;;;;;"Sapienza, Alessio; Velte, Andreas; Girnik, Ilya; Frazzica, Andrea; Füldner, Gerrit; Schnabel, Lena; Aristov, Yuri (2017): “Water - Silica Siogel” working pair for adsorption chillers. Adsorption equilibrium and dynamics. In: Renewable Energy 110, S. 40–46. DOI: 10.1016/j.renene.2016.09.065."
Water;mof powder;CPO-27(Ni);ads;;;0.1075;;;469.777;;;;;;gravimetric;isotherms;33.97,152.73,313.63,630.56,951.51,1267.48,1586.46,1898.44,2216.42,2532.4,2846.38,70.84,276.5,556.87,1119.62,1678.91,2236.46,2806.43,3365.76,3937.51,4479.08,5057.95,4.97,178.39,804.15,1579.27,3155.13,4726.18,6297.33,7888.41,9429.68,11015.81,12582.03,14163.11;298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,328.15,328.15,328.15,328.15,328.15,328.15,328.15,328.15,328.15,328.15,328.15,328.15;0.007897,0.380604,0.409173,0.427715,0.441255,0.446933,0.45261,0.454358,0.457892,0.461783,0.46639,0.032197,0.386322,0.418464,0.444868,0.454478,0.458727,0.464761,0.467581,0.472901,0.477508,0.479969,0.000397,0.0372,0.382033,0.415604,0.436291,0.447687,0.453365,0.456184,0.464007,0.465397,0.468573,0.474251;;;figure;;;;;;;;;;;;"Elsayed, Eman; AL-Dadah, Raya; Mahmoud, Saad; Elsayed, Ahmed; Anderson, Paul A. (2016): Aluminium fumarate and CPO-27(Ni) MOFs. Characterization and thermodynamic analysis for adsorption heat pump applications. In: Applied Thermal Engineering 99, S. 802–812. DOI: 10.1016/j.applthermaleng.2016.01.129."
