Refrigerant,Adsorbent,adsorbent-subtype,Y0,E,n,Literature
R-134a,Carbon,Maxsorb-III,222,7332.69,1.29,"Loh, W.S., et al., Adsorption isotherms and isosteric enthalpy of adsorption for assorted refrigerants on activated carbons. Journal of Chemical & Engineering Data, 2012. 57(10): p. 2766-2773."
R-134a,Carbon,ACF-A-20,129,7136.01,1.49,"Loh, W.S., et al., Adsorption isotherms and isosteric enthalpy of adsorption for assorted refrigerants on activated carbons. Journal of Chemical & Engineering Data, 2012. 57(10): p. 2766-2773."
R-134a,Carbon,AC-granular,1680,9575,1.83,"Askalany, A. A., Salem, M., Ismail, I. M., Ali, A. H. H., & Morsy, M. G. (2012). Experimental study on adsorption desorption characteristics of granular activated carbon/R134a pair.?International Journal of Refrigeration,?35(3), 494-498."
R-410A,Carbon,Maxsorb-III,207,5254.38,1.36,"Loh, W.S., et al., Adsorption isotherms and isosteric enthalpy of adsorption for assorted refrigerants on activated carbons. Journal of Chemical & Engineering Data, 2012. 57(10): p. 2766-2773."
R-290,Carbon,Maxsorb-III,900,8577.9,1.22,"Loh, W.S., et al., Adsorption isotherms and isosteric enthalpy of adsorption for assorted refrigerants on activated carbons. Journal of Chemical & Engineering Data, 2012. 57(10): p. 2766-2773."
R507a,Carbon,Maxsorb-III,2050,7547.2,1.34,"Loh, W.S., et al., Adsorption isotherms and isosteric enthalpy of adsorption for assorted refrigerants on activated carbons. Journal of Chemical & Engineering Data, 2012. 57(10): p. 2766-2773."
R507a,Carbon,ACF-A-20,1190,8100.78,1.45,"Loh, W.S., et al., Adsorption isotherms and isosteric enthalpy of adsorption for assorted refrigerants on activated carbons. Journal of Chemical & Engineering Data, 2012. 57(10): p. 2766-2773."
Water,Zeotype,AQSOA-Z01,210,4000,5,"Teo, H.W.B., A. Chakraborty, and W. Fan, Improved adsorption characteristics data for AQSOA types zeolites and water systems under static and dynamic conditions. Microporous and Mesoporous Materials, 2017. 242: p. 109-117."
Water,Zeotype,AQSOA-Z01,210,4000,5,"Kayal, S., S. Baichuan, and B.B. Saha, Adsorption characteristics of AQSOA zeolites and water for adsorption chillers. International Journal of Heat and Mass Transfer, 2016. 92: p. 1120-1127."
Water,Zeotype,AQSOA-Z02,285,7600,2.9,"Teo, H.W.B., A. Chakraborty, and W. Fan, Improved adsorption characteristics data for AQSOA types zeolites and water systems under static and dynamic conditions. Microporous and Mesoporous Materials, 2017. 242: p. 109-117."
Water,Zeotype,AQSOA-Z02,310,7000,3,"Kayal, S., S. Baichuan, and B.B. Saha, Adsorption characteristics of AQSOA zeolites and water for adsorption chillers. International Journal of Heat and Mass Transfer, 2016. 92: p. 1120-1127."
Water,Zeotype,AQSOA-Z05,220,2700,6,"Teo, H.W.B., A. Chakraborty, and W. Fan, Improved adsorption characteristics data for AQSOA types zeolites and water systems under static and dynamic conditions. Microporous and Mesoporous Materials, 2017. 242: p. 109-117."
Water,Zeotype,ETS-10,129,13986.3,1.98,"Pinheiro, J.M., et al., Application of the novel ETS-10/water pair in cyclic adsorption heating processes: measurement of equilibrium and kinetics properties and simulation studies. Applied Thermal Engineering, 2015. 87: p. 412-423."
Water,SilicaGel,Siogel,380,3960,1.1,"Sapienza, A., et al., Water-Silica Siogel working pair for adsorption chillers: Adsorption equilibrium and dynamics. Renewable Energy, 2016. 30(1): p. e7."
Water,MOF,COP-27(Ni),462,10014.1,4,"Elsayed, E., et al., Aluminium fumarate and CPO-27 (Ni) MOFs: characterization and thermodynamic analysis for adsorption heat pump applications. Applied Thermal Engineering, 2016. 99: p. 802-812."
Water,Polymer,PS-I,1200,852.6,0.5,"Sultan, M., et al., Insights of water vapor sorption onto polymer based sorbents. Adsorption, 2015. 21(3): p. 205-215."
Water,Polymer,PS-2,1760,753.1,0.5,"Sultan, M., et al., Insights of water vapor sorption onto polymer based sorbents. Adsorption, 2015. 21(3): p. 205-215."
